ProviderID,Specialty,Region,Facility
PR0001,Psychiatry,North,South Clinic
PR0002,Orthopedics,West,Main Hospital
PR0003,Oncology,East,West Urgent Care
PR0004,Neurology,West,Main Hospital
PR0005,Pediatrics,North,East Medical Center
PR0006,Dermatology,Central,West Urgent Care
PR0007,Pediatrics,West,Central Health Plaza
PR0008,Oncology,North,Main Hospital
PR0009,OB/GYN,West,Central Health Plaza
PR0010,Cardiology,Central,West Urgent Care
PR0011,Radiology,East,Downtown Facility
PR0012,Pediatrics,South,West Urgent Care
PR0013,Radiology,Central,North Clinic
PR0014,Radiology,West,Main Hospital
PR0015,Surgery,East,West Urgent Care
PR0016,Oncology,South,South Clinic
PR0017,Psychiatry,North,South Clinic
PR0018,Radiology,East,North Clinic
PR0019,Primary Care,Central,West Urgent Care
PR0020,Neurology,West,Main Hospital
PR0021,Pediatrics,South,Downtown Facility
PR0022,Oncology,East,Central Health Plaza
PR0023,Dermatology,South,Main Hospital
PR0024,Primary Care,South,Central Health Plaza
PR0025,Pediatrics,East,Central Health Plaza
PR0026,Oncology,West,Central Health Plaza
PR0027,Pediatrics,North,South Clinic
PR0028,OB/GYN,East,East Medical Center
PR0029,Emergency Medicine,North,Downtown Facility
PR0030,Dermatology,South,West Urgent Care
PR0031,Cardiology,South,North Clinic
PR0032,Orthopedics,West,North Clinic
PR0033,Radiology,East,Central Health Plaza
PR0034,Primary Care,East,West Urgent Care
PR0035,Cardiology,Central,West Urgent Care
PR0036,OB/GYN,West,Central Health Plaza
PR0037,Oncology,East,North Clinic
PR0038,Oncology,South,North Clinic
PR0039,Oncology,West,Main Hospital
PR0040,Radiology,Central,North Clinic
PR0041,Primary Care,Central,Central Health Plaza
PR0042,OB/GYN,South,South Clinic
PR0043,OB/GYN,East,North Clinic
PR0044,Oncology,South,Downtown Facility
PR0045,Oncology,Central,North Clinic
PR0046,Primary Care,West,South Clinic
PR0047,Emergency Medicine,East,South Clinic
PR0048,Neurology,South,West Urgent Care
PR0049,Cardiology,East,Central Health Plaza
PR0050,Surgery,West,Central Health Plaza
PR0051,Pediatrics,Central,North Clinic
PR0052,Cardiology,South,South Clinic
PR0053,Pediatrics,Central,Main Hospital
PR0054,OB/GYN,South,East Medical Center
PR0055,Pediatrics,East,South Clinic
PR0056,Surgery,North,East Medical Center
PR0057,Radiology,South,Downtown Facility
PR0058,Primary Care,South,Downtown Facility
PR0059,Dermatology,Central,North Clinic
PR0060,Orthopedics,North,Downtown Facility
PR0061,Neurology,North,Downtown Facility
PR0062,OB/GYN,North,Main Hospital
PR0063,Surgery,North,Central Health Plaza
PR0064,Orthopedics,West,Main Hospital
PR0065,Primary Care,East,Central Health Plaza
PR0066,Radiology,South,West Urgent Care
PR0067,Radiology,East,Central Health Plaza
PR0068,Oncology,East,Central Health Plaza
PR0069,Pediatrics,East,Downtown Facility
PR0070,Pediatrics,East,West Urgent Care
PR0071,Dermatology,West,North Clinic
PR0072,Radiology,Central,South Clinic
PR0073,Primary Care,West,Main Hospital
PR0074,Surgery,South,North Clinic
PR0075,Oncology,North,North Clinic
PR0076,Emergency Medicine,Central,Central Health Plaza
PR0077,OB/GYN,South,South Clinic
PR0078,Surgery,North,Main Hospital
PR0079,Emergency Medicine,West,Central Health Plaza
PR0080,OB/GYN,East,Central Health Plaza
PR0081,Radiology,South,Main Hospital
PR0082,OB/GYN,East,Main Hospital
PR0083,OB/GYN,East,West Urgent Care
PR0084,Psychiatry,East,Main Hospital
PR0085,Radiology,Central,East Medical Center
PR0086,Psychiatry,North,Central Health Plaza
PR0087,Orthopedics,East,South Clinic
PR0088,Psychiatry,South,Main Hospital
PR0089,Dermatology,Central,Downtown Facility
PR0090,OB/GYN,North,South Clinic
PR0091,Neurology,South,South Clinic
PR0092,Surgery,Central,East Medical Center
PR0093,Dermatology,Central,Main Hospital
PR0094,Dermatology,North,South Clinic
PR0095,Pediatrics,East,Downtown Facility
PR0096,Cardiology,South,Central Health Plaza
PR0097,Neurology,West,Main Hospital
PR0098,Psychiatry,East,East Medical Center
PR0099,Cardiology,West,West Urgent Care
PR0100,Neurology,South,West Urgent Care
PR0101,OB/GYN,West,West Urgent Care
PR0102,Neurology,West,West Urgent Care
PR0103,Emergency Medicine,North,North Clinic
PR0104,Oncology,North,South Clinic
PR0105,Oncology,North,North Clinic
PR0106,Psychiatry,West,Downtown Facility
PR0107,Oncology,West,Main Hospital
PR0108,Cardiology,Central,Central Health Plaza
PR0109,Orthopedics,Central,West Urgent Care
PR0110,Dermatology,North,Main Hospital
PR0111,Neurology,Central,East Medical Center
PR0112,Emergency Medicine,East,South Clinic
PR0113,Surgery,Central,East Medical Center
PR0114,Cardiology,Central,South Clinic
PR0115,Radiology,East,East Medical Center
PR0116,Emergency Medicine,East,Downtown Facility
PR0117,Dermatology,South,East Medical Center
PR0118,Dermatology,West,Central Health Plaza
PR0119,Neurology,West,South Clinic
PR0120,Pediatrics,North,Main Hospital
PR0121,Primary Care,South,Downtown Facility
PR0122,Pediatrics,South,East Medical Center
PR0123,Oncology,South,Downtown Facility
PR0124,Orthopedics,South,South Clinic
PR0125,Cardiology,Central,South Clinic
PR0126,Surgery,South,East Medical Center
PR0127,Psychiatry,North,Main Hospital
PR0128,Cardiology,West,Downtown Facility
PR0129,Psychiatry,South,West Urgent Care
PR0130,Emergency Medicine,West,Central Health Plaza
PR0131,Dermatology,East,North Clinic
PR0132,Oncology,North,West Urgent Care
PR0133,Dermatology,East,East Medical Center
PR0134,Primary Care,South,East Medical Center
PR0135,Psychiatry,Central,Central Health Plaza
PR0136,Primary Care,Central,Downtown Facility
PR0137,Neurology,North,South Clinic
PR0138,OB/GYN,South,Downtown Facility
PR0139,Orthopedics,South,Central Health Plaza
PR0140,Pediatrics,South,Main Hospital
PR0141,Radiology,South,Central Health Plaza
PR0142,Primary Care,North,Central Health Plaza
PR0143,Pediatrics,North,Main Hospital
PR0144,Neurology,North,East Medical Center
PR0145,Cardiology,Central,Main Hospital
PR0146,Dermatology,South,North Clinic
PR0147,Surgery,East,Central Health Plaza
PR0148,Surgery,West,Main Hospital
PR0149,Radiology,North,Main Hospital
PR0150,Surgery,North,Central Health Plaza
PR0151,Radiology,Central,Downtown Facility
PR0152,Radiology,Central,Downtown Facility
PR0153,OB/GYN,West,South Clinic
PR0154,Pediatrics,Central,East Medical Center
PR0155,Radiology,North,Main Hospital
PR0156,Emergency Medicine,South,Downtown Facility
PR0157,Pediatrics,South,Downtown Facility
PR0158,Oncology,Central,East Medical Center
PR0159,Cardiology,West,Main Hospital
PR0160,Primary Care,South,Main Hospital
PR0161,Cardiology,North,Main Hospital
PR0162,Orthopedics,South,Downtown Facility
PR0163,Oncology,West,Downtown Facility
PR0164,Surgery,Central,Downtown Facility
PR0165,Emergency Medicine,East,South Clinic
PR0166,Oncology,South,Main Hospital
PR0167,Surgery,North,Downtown Facility
PR0168,Neurology,West,West Urgent Care
PR0169,OB/GYN,South,North Clinic
PR0170,Orthopedics,East,Central Health Plaza
PR0171,Emergency Medicine,Central,Central Health Plaza
PR0172,Cardiology,South,Downtown Facility
PR0173,Pediatrics,West,Main Hospital
PR0174,Pediatrics,South,Central Health Plaza
PR0175,Neurology,Central,West Urgent Care
PR0176,Primary Care,West,East Medical Center
PR0177,Emergency Medicine,East,South Clinic
PR0178,Cardiology,North,East Medical Center
PR0179,OB/GYN,Central,South Clinic
PR0180,Emergency Medicine,South,East Medical Center
PR0181,Cardiology,East,East Medical Center
PR0182,Neurology,West,North Clinic
PR0183,Radiology,West,North Clinic
